semantics_id,sentence_id,hanji,lomaji,mandarin
608,46038,"""這塊餅已經上殕矣，緊提去擲㧒捔。""","""Tsit tè piánn í-king tshiūnn-phú--ah, kín the̍h-khì tàn-hiat-ka̍k.""","""這塊餅乾已經發霉了，趕快拿去丟。"""
609,46039,"""伊對下港起來臺北食頭路。""","""I tuì ē-káng khí-lâi Tâi-pak tsia̍h-thâu-lōo.""","""他從南部上來臺北工作。"""
610,46040,"""大港無崁蓋。""","""Tuā-káng bô khàm-kuà.""","""大河沒有覆蓋。這句話多用於罵人去跳河自殺算了。"""
611,46041,"""水足大港""","""tsuí tsiok tuā-káng""","""水流量非常大"""
611,46042,"""風足大港""","""hong tsiok tuā-káng""","""風勢很強"""
612,46043,"""氣象報告講今仔日有大湧，你毋通去釣魚。""","""Khì-siōng pò-kò kóng kin-á-ji̍t ū tuā-íng, lí m̄-thang khì tiò-hî.""","""氣象報告說今天會有大浪，你別去釣魚。"""
613,46044,"""干焦賰遮的菜爾爾，你欲無？""","""Kan-na tshun tsia-ê tshài niā-niā, lí beh--bô?""","""只剩這些菜而已，你要嗎？"""
615,46045,"""一屑仔代誌都辦袂好勢，真下痟！""","""Tsi̍t-sut-á tāi-tsì to pān bē hó-sè, tsin hā-siau!""","""一點小事情都辦不好，真沒用！"""
619,46046,"""上等料理""","""siōng-tíng liāu-lí""","""上等料理"""
621,46047,"""注大筒的""","""tsù tuā-tâng--ê""","""打點滴、靜脈注射"""
622,46048,"""小等一下！""","""Sió-tán--tsi̍t-ē!""","""稍等一下！"""
625,46049,"""大量生產才算會和。""","""Tāi-liōng sing-sán tsiah sǹg-ē-hô.""","""大量生產才划算。"""
626,46050,"""喙共弓開才會當灌藥仔。""","""Tshuì kā king--khui tsiah ē-tàng kuàn io̍h-á.""","""撐開他的嘴才能夠灌藥。"""
627,46051,"""天遐爾仔烏，等咧凡勢會落雨。""","""Thinn hiah-nī-á oo, tán--leh huān-sè ē lo̍h-hōo.""","""天那麼黑，等一會兒也許會下雨。"""
628,46052,"""咱蹛這角圍仔，山勢較低。""","""Lán tuà tsit kak-uî-á, suann-sè khah kē.""","""我們住的這一帶，地勢比較低。"""
629,46053,"""這款代誌曷使閣問，土想嘛知。""","""Tsit khuán tāi-tsì a̍h-sái koh mn̄g, thóo-siūnn mā tsai.""","""這種事情何必再問，不用想也知道。"""
630,46054,"""下暗欲來阮兜予阮請無？""","""E-àm beh lâi guán tau hōo guán tshiánn--bô?""","""今晚要來我們家作客嗎？"""
633,46055,"""伊先共我拍，我才會共伊拍。""","""I sing kā guá phah, guá tsiah ē kā i phah.""","""他先打我，我才會打他。"""
634,46056,"""伊跋落去山溝，跤骨摔斷去。""","""I pua̍h lo̍h-khì suann-kau, kha-kut siak-tn̄g--khì.""","""他跌落山谷，腳摔斷了。"""
636,46057,"""下落不明""","""hē-lo̍h put-bîng""","""不知去向"""
637,46058,"""你出門在外，家己千萬愛小心。""","""Lí tshut-mn̂g tsāi guā, ka-kī tshian-bān ài sió-sim.""","""你出門在外，自己千萬要小心。"""
638,46059,"""千萬人""","""tshian-bān lâng""","""千萬人"""
648,46060,"""貓睏佇椅仔下跤。""","""Niau khùn tī í-á ē-kha.""","""貓在椅子下睡覺。"""
649,46061,"""土人講土話。""","""Thóo-lâng kóng thóo-uē.""","""粗俗的人講粗俗的話。"""
650,46062,"""伊講的是𪜶故鄉的土話，我聽攏無。""","""I kóng--ê sī in kòo-hiong ê thóo-uē, guá thiann lóng bô.""","""他說的是他故鄉的方言，我都聽不懂。"""
651,46063,"""毋通定定講大話。""","""M̄-thang tiānn-tiānn kóng tuā-uē.""","""不要常常說大話。"""
653,46064,"""較早有真濟山賊佇遮出入。""","""Khah-tsá ū tsin tsē suann-tsha̍t tī tsia tshut-ji̍p.""","""以前有很多山賊在這裡出沒。"""
654,46065,"""𪜶兜蹛佇山跤。""","""In tau tuà tī suann-kha.""","""他們家住在山腳下。"""
655,46066,"""𪜶兜倩真濟下跤手人。""","""In tau tshiànn tsin tsē ē-kha-tshiú-lâng.""","""他家僱用很多手下。"""
656,46067,"""我有一雙大跤胴。""","""Guá ū tsi̍t siang tuā-kha-tâng.""","""我有一雙蘿蔔腿。"""
